Junction,vtype,07:00,07:15,07:30,07:45,hour1,08:00,08:15,08:30,08:45,hour2,09:00,09:15,09:30,09:45,hour3,3hour1,10:00,10:15,10:30,10:45,hour4,11:00,11:15,11:30,11:45,hour5,12:00,12:15,12:30,12:45,hour6,3hour2,13:00,13:15,13:30,13:45,hour7,14:00,14:15,14:30,14:45,hour8,15:00,15:15,15:30,15:45,hour9,3hour3,16:00,16:15,16:30,16:45,hour10,17:00,17:15,17:30,17:45,hour11,18:00,18:15,18:30,18:45,hour12,3hour4,Total,Date
49AD,obus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49AD,taxi,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,2,1,1,1,0,3,6,13,14/05/2013
49AD,mc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,14/05/2013
49AD,pc,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,1,2,0,1,0,0,1,4,0,0,0,0,0,0,1,0,1,2,2,1,0,3,6,8,1,0,3,1,5,1,1,9,5,16,4,6,6,5,21,42,56,14/05/2013
49AD,vtotal,0,1,4,3,8,1,10,1,4,16,1,0,4,5,10,34,4,1,5,1,11,6,9,3,6,24,6,8,2,4,20,55,4,4,2,8,18,4,4,1,2,11,6,2,0,5,13,42,5,8,11,8,32,5,4,10,7,26,13,9,11,10,43,101,232,14/05/2013
49AD,ptotal,0,1,4,2.2,7.2,1,10,1,4,16,1,0,4,4.2,9.2,32.4,3.2,1,5,1,10.2,5.2,10.3,3,5.2,23.7,6,8.5,2,5.3,21.8,55.7,4,4,2,9.3,19.3,4,3.2,0.4,1.2,8.8,4.4,1.2,0,2.6,8.2,36.3,4.2,8,8,7.2,27.4,4.2,3.2,2.8,3,13.2,9.8,4.2,6.2,6,26.2,66.8,191.2,14/05/2013
49AC,car,80,107,93,102,382,98,83,68,99,348,71,69,51,72,263,993,65,55,53,53,226,60,58,65,60,243,64,52,77,73,266,735,66,67,58,55,246,67,68,84,63,282,72,51,57,73,253,781,86,92,96,78,352,89,96,103,97,385,91,93,86,82,352,1089,3598,14/05/2013
49AC,lgv,7,4,12,14,37,13,11,8,10,42,5,10,3,8,26,105,11,7,10,9,37,11,12,9,11,43,13,9,7,6,35,115,3,11,9,6,29,5,10,5,15,35,11,1,10,8,30,94,10,4,4,9,27,5,4,2,2,13,2,4,0,3,9,49,363,14/05/2013
49AC,hgv 2x,2,2,1,0,5,0,1,3,0,4,1,0,0,1,2,11,2,1,4,2,9,2,0,2,1,5,0,2,1,1,4,18,1,0,0,0,1,1,2,2,3,8,3,1,2,0,6,15,1,0,0,0,1,0,1,0,0,1,2,0,0,0,2,4,48,14/05/2013
49AC,hgv 3x,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,14/05/2013
49AC,hgv 4x,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14/05/2013
49AC,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49AC,dbus,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14/05/2013
49AC,obus,0,1,1,0,2,0,0,2,0,2,0,0,0,1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,3,4,10,14/05/2013
49AC,taxi,6,12,9,9,36,15,16,15,15,61,14,25,20,25,84,181,22,15,24,23,84,19,8,18,15,60,18,14,19,12,63,207,16,12,14,8,50,12,9,15,15,51,12,10,9,14,45,146,14,16,10,10,50,15,17,8,12,52,13,7,16,17,53,155,689,14/05/2013
49AC,mc,2,0,1,1,4,2,3,2,5,12,3,5,3,1,12,28,1,1,0,3,5,0,0,1,0,1,2,1,1,2,6,12,1,3,0,0,4,1,1,2,1,5,2,0,0,1,3,12,2,0,2,1,5,1,0,1,1,3,3,7,5,2,17,25,77,14/05/2013
49AC,pc,5,2,16,14,37,19,13,19,23,74,13,11,3,7,34,145,2,0,3,3,8,2,1,3,5,11,0,1,0,4,5,24,4,2,3,4,13,3,1,3,3,10,4,4,7,2,17,40,2,8,4,7,21,13,15,25,25,78,15,27,20,17,79,178,387,14/05/2013
