"","LOCATION","FREQUENCY","TIME","Value"
"10720","IRL","M","1989-03",-6.038912596
"10721","IRL","M","1989-04",-1.315944719
"10722","IRL","M","1989-05",2.167302706
"10723","IRL","M","1989-06",11.63234091
"10724","IRL","M","1989-07",-9.019208034
"10725","IRL","M","1989-08",5.54540745
"10726","IRL","M","1989-09",-1.19926744
"10727","IRL","M","1989-10",-2.371145911
"10728","IRL","M","1989-11",7.64976817
"10729","IRL","M","1989-12",2.387690642
"10730","IRL","M","1990-01",-1.87951638
"10731","IRL","M","1990-02",-2.104064906
"10732","IRL","M","1990-03",-0.733407731
"10733","IRL","M","1990-04",7.227876661
"10734","IRL","M","1990-05",-6.272271857
"10735","IRL","M","1990-06",0.335680272
"10736","IRL","M","1990-07",-3.389484509
"10737","IRL","M","1990-08",3.353651093
"10738","IRL","M","1990-09",-0.85861105
"10739","IRL","M","1990-10",3.623617251
"10740","IRL","M","1990-11",-9.618115986
"10741","IRL","M","1990-12",1.734702778
"10742","IRL","M","1991-01",-4.56743604
"10743","IRL","M","1991-02",-16.1062607
"10744","IRL","M","1991-03",15.68414007
"10745","IRL","M","1991-04",-11.02981113
"10746","IRL","M","1991-05",22.95047757
"10747","IRL","M","1991-06",-16.06519806
"10748","IRL","M","1991-07",-5.700344907
"10749","IRL","M","1991-08",3.85667455
"10750","IRL","M","1991-09",-1.040567521
"10751","IRL","M","1991-10",0.267869334
"10752","IRL","M","1991-11",3.478363415
"10753","IRL","M","1991-12",-0.52093997
"10754","IRL","M","1992-01",-7.537459327
"10755","IRL","M","1992-02",4.581482745
"10756","IRL","M","1992-03",30.32406875
"10757","IRL","M","1992-04",-27.58134046
"10758","IRL","M","1992-05",-2.201019198
"10759","IRL","M","1992-06",9.081715919
"10760","IRL","M","1992-07",13.16155917
"10761","IRL","M","1992-08",-3.66408864
"10762","IRL","M","1992-09",-0.833114188
"10763","IRL","M","1992-10",-1.191354038
"10764","IRL","M","1992-11",3.639151423
"10765","IRL","M","1992-12",15.24099706
"10766","IRL","M","1993-01",-37.46949853
"10767","IRL","M","1993-02",29.28326624
"10768","IRL","M","1993-03",-9.352017245
"10769","IRL","M","1993-04",8.61372578
"10770","IRL","M","1993-05",-5.51625862
"10771","IRL","M","1993-06",-3.298102638
"10772","IRL","M","1993-07",4.413886427
"10773","IRL","M","1993-08",-7.749918818
"10774","IRL","M","1993-09",5.314640188
"10775","IRL","M","1993-10",6.796984317
"10776","IRL","M","1993-11",-2.713016869
"10777","IRL","M","1993-12",-30.46527356
"10778","IRL","M","1994-01",96.21883217
"10779","IRL","M","1994-02",-6.618288099
"10780","IRL","M","1994-03",4.0543425
"10781","IRL","M","1994-04",-9.133001068
"10782","IRL","M","1994-05",7.289434169
"10783","IRL","M","1994-06",-1.170543187
"10784","IRL","M","1994-07",-13.53942315
"10785","IRL","M","1994-08",2.105668441
"10786","IRL","M","1994-09",4.936460944
"10787","IRL","M","1994-10",-7.077247307
"10788","IRL","M","1994-11",-4.151427197
"10789","IRL","M","1994-12",-25.77112519
"10790","IRL","M","1995-01",78.68069033
"10791","IRL","M","1995-02",-13.54392261
"10792","IRL","M","1995-03",1.08620725
"10793","IRL","M","1995-04",8.103664941
"10794","IRL","M","1995-05",-6.196525268
"10795","IRL","M","1995-06",0.405642337
"10796","IRL","M","1995-07",15.68360667
"10797","IRL","M","1995-08",1.660854602
"10798","IRL","M","1995-09",-6.651504199
"10799","IRL","M","1995-10",2.376680407
"10800","IRL","M","1995-11",-17.48608277
"10801","IRL","M","1995-12",-14.93474766
"10802","IRL","M","1996-01",61.8080475
"10803","IRL","M","1996-02",3.786959594
"10804","IRL","M","1996-03",5.513619411
"10805","IRL","M","1996-04",1.202361403
"10806","IRL","M","1996-05",-0.548926696
"10807","IRL","M","1996-06",-2.752833656
"10808","IRL","M","1996-07",0.374348035
"10809","IRL","M","1996-08",-3.748991914
"10810","IRL","M","1996-09",5.577286347
"10811","IRL","M","1996-10",-1.271004021
"10812","IRL","M","1996-11",7.302316933
"10813","IRL","M","1996-12",-4.17148205
"10814","IRL","M","1997-01",4.844559422
"10815","IRL","M","1997-02",-3.473854664
"10816","IRL","M","1997-03",-4.255707519
"10817","IRL","M","1997-04",5.941471222
"10818","IRL","M","1997-05",2.580651829
"10819","IRL","M","1997-06",-0.940766273
"10820","IRL","M","1997-07",-0.689980658
"10821","IRL","M","1997-08",8.637299251
"10822","IRL","M","1997-09",5.65385493
"10823","IRL","M","1997-10",12.33812918
"10824","IRL","M","1997-11",36.82569043
"10825","IRL","M","1997-12",72.71963424
"10826","IRL","M","1998-01",-58.51534529
"10827","IRL","M","1998-02",-8.811755364
"10828","IRL","M","1998-03",-13.67279488
"10829","IRL","M","1998-04",19.91176246
"10830","IRL","M","1998-05",-0.150531152
"10831","IRL","M","1998-06",1.210589185
"10832","IRL","M","1998-07",2.250270486
"10833","IRL","M","1998-08",-0.088342966
"10834","IRL","M","1998-09",-2.753992571
"10835","IRL","M","1998-10",4.44905086
"10836","IRL","M","1998-11",7.007761163
"10837","IRL","M","1998-12",16.70097046
"10838","IRL","M","1999-01",-30.95105708
"10839","IRL","M","1999-02",30.11158584
"10840","IRL","M","1999-03",5.033264165
"10841","IRL","M","1999-04",-8.512866732
"10842","IRL","M","1999-05",6.900515772
"10843","IRL","M","1999-06",4.722686811
"10844","IRL","M","1999-07",2.571644372
"10845","IRL","M","1999-08",4.129219682
"10846","IRL","M","1999-09",14.37055081
"10847","IRL","M","1999-10",-7.246860234
"10848","IRL","M","1999-11",4.448880671
"10849","IRL","M","1999-12",2.38463003
"10850","IRL","M","2000-01",-9.063106086
"10851","IRL","M","2000-02",18.23052861
"10852","IRL","M","2000-03",-2.026054334
"10853","IRL","M","2000-04",7.845997529
"10854","IRL","M","2000-05",-3.881198941
"10855","IRL","M","2000-06",3.35366965
"10856","IRL","M","2000-07",-7.150129734
"10857","IRL","M","2000-08",2.955962069
"10858","IRL","M","2000-09",4.944311208
"10859","IRL","M","2000-10",-10.25394359
"10860","IRL","M","2000-11",-4.606271092
"10861","IRL","M","2000-12",-1.271061901
"10862","IRL","M","2001-01",-25.82079319
"10863","IRL","M","2001-02",16.20549718
"10864","IRL","M","2001-03",-4.710021487
"10865","IRL","M","2001-04",-2.222400902
"10866","IRL","M","2001-05",-0.569560883
"10867","IRL","M","2001-06",1.731143907
"10868","IRL","M","2001-07",-3.487696132
"10869","IRL","M","2001-08",-2.664612066
"10870","IRL","M","2001-09",-5.030362825
"10871","IRL","M","2001-10",3.054608014
"10872","IRL","M","2001-11",0.003421183
"10873","IRL","M","2001-12",0.716413189
"10874","IRL","M","2002-01",-13.52598849
"10875","IRL","M","2002-02",12.84628661
"10876","IRL","M","2002-03",5.640018005
"10877","IRL","M","2002-04",-7.567068547
"10878","IRL","M","2002-05",8.241949947
"10879","IRL","M","2002-06",-6.999073019
"10880","IRL","M","2002-07",4.012640012
"10881","IRL","M","2002-08",1.363833795
"10882","IRL","M","2002-09",4.694831086
"10883","IRL","M","2002-10",-2.563817121
"10884","IRL","M","2002-11",-0.245042258
"10885","IRL","M","2002-12",14.52767777
"10886","IRL","M","2003-01",-18.1827766
"10887","IRL","M","2003-02",1.703534311
"10888","IRL","M","2003-03",-5.238534028
"10889","IRL","M","2003-04",2.615682402
"10890","IRL","M","2003-05",-6.831545806
"10891","IRL","M","2003-06",1.065222594
"10892","IRL","M","2003-07",3.139362417
"10893","IRL","M","2003-08",1.311114415
"10894","IRL","M","2003-09",0.578659767
"10895","IRL","M","2003-10",9.459679639
"10896","IRL","M","2003-11",-5.447600932
"10897","IRL","M","2003-12",-5.730391294
"10898","IRL","M","2004-01",1.259827106
"10899","IRL","M","2004-02",0.00859347
"10900","IRL","M","2004-03",5.153147285
"10901","IRL","M","2004-04",-0.331008187
"10902","IRL","M","2004-05",0.426385524
"10903","IRL","M","2004-06",1.279350598
"10904","IRL","M","2004-07",3.422042937
"10905","IRL","M","2004-08",-1.685284684
"10906","IRL","M","2004-09",4.597194086
"10907","IRL","M","2004-10",-0.012282067
"10908","IRL","M","2004-11",-3.052762666
"10909","IRL","M","2004-12",0.156731885
"10910","IRL","M","2005-01",2.810953026
"10911","IRL","M","2005-02",4.563460646
"10912","IRL","M","2005-03",-4.858629347
"10913","IRL","M","2005-04",7.637957404
"10914","IRL","M","2005-05",-2.669392236
"10915","IRL","M","2005-06",0.046995909
"10916","IRL","M","2005-07",-2.027543321
"10917","IRL","M","2005-08",7.731509142
"10918","IRL","M","2005-09",-3.564323962
"10919","IRL","M","2005-10",8.123528384
"10920","IRL","M","2005-11",-4.837940546
"10921","IRL","M","2005-12",4.600967725
"10922","IRL","M","2006-01",-4.162671551
"10923","IRL","M","2006-02",2.561196771
"10924","IRL","M","2006-03",-1.207228757
"10925","IRL","M","2006-04",-3.172000449
"10926","IRL","M","2006-05",-1.101115801
"10927","IRL","M","2006-06",-1.646110369
"10928","IRL","M","2006-07",4.140214616
"10929","IRL","M","2006-08",1.974701326
"10930","IRL","M","2006-09",-1.525361982
"10931","IRL","M","2006-10",-5.152086011
"10932","IRL","M","2006-11",-5.268356148
"10933","IRL","M","2006-12",-8.956468119
"10934","IRL","M","2007-01",29.13964551
"10935","IRL","M","2007-02",-3.445150874
"10936","IRL","M","2007-03",5.458575652
"10937","IRL","M","2007-04",-2.189775714
"10938","IRL","M","2007-05",0.935316624
"10939","IRL","M","2007-06",-6.361614723
"10940","IRL","M","2007-07",3.741107465
"10941","IRL","M","2007-08",-3.760869425
"10942","IRL","M","2007-09",-3.822495934
"10943","IRL","M","2007-10",-2.904052372
"10944","IRL","M","2007-11",-4.572473257
"10945","IRL","M","2007-12",-15.13176057
"10946","IRL","M","2008-01",45.94861818
"10947","IRL","M","2008-02",-18.17479185
"10948","IRL","M","2008-03",-4.824013118
"10949","IRL","M","2008-04",4.446602976
"10950","IRL","M","2008-05",-24.1093565
"10951","IRL","M","2008-06",-31.26223926
"10952","IRL","M","2008-07",121.7693415
"10953","IRL","M","2008-08",-26.94634399
"10954","IRL","M","2008-09",-23.1178535
"10955","IRL","M","2008-10",-18.27854819
"10956","IRL","M","2008-11",-17.60337233
"10957","IRL","M","2008-12",-1.576172325
"10958","IRL","M","2009-01",-6.468378102
"10959","IRL","M","2009-02",-4.765830131
"10960","IRL","M","2009-03",-8.72697326
"10961","IRL","M","2009-04",-10.63468973
"10962","IRL","M","2009-05",0.5580472
"10963","IRL","M","2009-06",6.466612072
"10964","IRL","M","2009-07",-7.530646728
"10965","IRL","M","2009-08",0.749520968
"10966","IRL","M","2009-09",7.388088713
"10967","IRL","M","2009-10",-5.491228677
"10968","IRL","M","2009-11",4.980030844
"10969","IRL","M","2009-12",-2.367896632
"10970","IRL","M","2010-01",18.36969231
"10971","IRL","M","2010-02",36.25667467
"10972","IRL","M","2010-03",7.320342821
"10973","IRL","M","2010-04",-3.3331819
"10974","IRL","M","2010-05",6.429442696
"10975","IRL","M","2010-06",4.652426798
"10976","IRL","M","2010-07",-17.73396236
"10977","IRL","M","2010-08",35.97956172
"10978","IRL","M","2010-09",3.059192141
"10979","IRL","M","2010-10",7.217152342
"10980","IRL","M","2010-11",-5.49506461
