,TIME,AUT,AUT2,BEL,BEL2,CZE,CZE2,DEU,DEU2,DNK,DNK2,ESP,ESP2,EST,EST2,EU27,EU272,FRA,FRA2,GBR,GBR2,GRC,GRC2,HUN,HUN2,IRL,IRL2,ITA,ITA2,LTU,LTU2,LUX,LUX2,LVA,LVA2,NLD,NLD2,POL,POL2,PRT,PRT2,SVK,SVK2,SVN,SVN2,SWE,SWE2
159,1960-03,6.371949718,161.503303,-5.179886536,229.9197537,0,100,-2.099425748,245.3476487,28.1027443,174.6263296,-10.77353477,105.0101352,0,100,0,100,5.821205821,88.21490468,1.051228901,266.8100078,0,100,0,100,27.40675156,796.0914825,13.46942637,284.5837761,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
160,1960-04,5.781407322,170.8404668,0.719392745,231.5737798,0,100,7.533266078,263.8303399,16.70128098,203.7911636,47.31239275,154.6929428,0,100,0,100,6.090373281,93.58752166,-1.787545788,262.0406568,0,100,0,100,-21.70358346,623.3111031,5.968571906,301.5693634,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
161,1960-05,-7.006766825,158.8700737,3.387923533,239.4193223,0,100,8.776635469,286.9857671,-16.82933676,169.4944624,20.3262662,186.1362422,0,100,0,100,-9.074074074,85.09532062,-3.05833209,254.0265833,0,100,0,100,12.54761875,701.521804,7.13073911,323.0734879,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
162,1960-06,-3.829792233,152.7856799,-5.27199399,226.7971501,0,100,-14.27370178,246.0222745,-0.841773213,168.0677034,-33.52665374,123.7309888,0,100,0,100,12.01629328,95.32062392,3.78578024,263.6434715,0,100,0,100,6.669440678,748.3093846,0.649090932,325.1705286,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
163,1960-07,1.087563169,154.4473207,2.093337241,231.5447793,0,100,6.231770601,261.3538183,-3.82068833,161.6463603,8.901748679,134.7452104,0,100,0,100,10,104.8526863,1.809015421,268.4128225,0,100,0,100,-5.813248782,704.8082984,9.544437159,356.2062254,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
164,1960-08,-3.420337261,149.1647015,0.686810935,233.1350541,0,100,0.537244587,262.7579276,-11.49882853,143.0589225,14.35714127,154.0907706,0,100,0,100,-6.446280992,98.09358752,0.451500146,269.6247068,0,100,0,100,26.92380642,894.5695203,9.895323691,391.4539844,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
165,1960-09,4.133555209,155.3305068,-0.43760241,232.1148495,0,100,2.178157893,268.4812101,2.952267734,147.2824049,-25.96760673,114.0770853,0,100,0,100,-8.303886926,89.94800693,7.423517471,289.640344,0,100,0,100,-22.70155371,691.4883402,-20.07905626,312.8537186,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
166,1960-10,6.704023351,165.7439002,7.600723851,249.7572582,0,100,-0.580307233,266.9231942,39.45640516,205.3947473,-1.488859502,112.3786378,0,100,0,100,0.578034682,90.46793761,-5.385342151,274.0422205,0,100,0,100,1.73554557,703.4894354,3.660285663,324.3050584,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
167,1960-11,6.306956108,176.1972952,7.123377732,267.5484112,0,100,-1.188523815,263.7507485,-19.30445384,165.7444131,-6.879962998,104.6470291,0,100,0,100,7.279693487,97.05372617,-7.303851641,254.0265833,0,100,0,100,-0.743542349,698.2586935,-1.265391301,320.2013304,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
168,1960-12,19.44427822,210.4575875,-0.376193281,266.541912,0,100,6.976552501,282.1514579,1.671681541,168.5151319,26.0705476,131.9290826,0,100,0,100,2.678571429,99.65337955,0,254.0265833,0,100,0,100,1.537742877,708.9961169,12.17637668,359.1902506,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
169,1961-01,-16.97662217,174.7289981,-4.142307836,255.5009255,0,100,4.012409404,293.4725296,19.70951805,201.7286522,11.36527193,146.9231816,0,100,0,100,1.565217391,101.2131716,-4.724530625,242.0250195,0,100,0,100,-4.161258513,679.4929556,0.854568254,362.2597764,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
170,1961-02,-1.777437469,171.6232994,25.40479505,320.410412,0,100,1.218274137,297.0478295,0.817731878,203.3782517,1.92174485,149.7466703,0,100,0,100,0.684931507,101.9064125,8.593119044,262.8225176,0,100,0,100,6.473006166,723.4765765,1.862087916,369.0053719,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
171,1961-03,4.036647042,178.5511262,-18.4920969,261.1598081,0,100,-1.415466935,292.8432157,7.753429446,219.1470409,1.947314083,152.6627083,0,100,0,100,6.462585034,108.492201,4.268927562,274.0422205,0,100,0,100,-14.59939108,617.8534017,10.98503831,409.5407534,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
172,1961-04,-21.78460783,139.6544636,-11.56539521,230.9556441,0,100,-15.8788136,246.3431873,-39.71280432,132.1176054,-2.822732687,148.3534481,0,100,0,100,-7.188498403,100.6932409,-11.54065621,242.41595,0,100,0,100,17.09203323,723.4571104,-5.95632748,385.147165,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
173,1961-05,5.717971003,147.6398653,-4.327019407,220.9621486,0,100,11.73159706,275.2431774,26.92112595,167.6851524,-8.535070395,135.6913769,0,100,0,100,-3.098106713,97.57365685,-0.322528624,241.6340891,0,100,0,100,4.039700681,752.6826122,4.028215948,400.6617245,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
174,1961-06,10.07928275,162.5209048,2.776670292,227.0975389,0,100,8.633076668,299.005132,8.892590837,182.5967069,0.095313308,135.8207088,0,100,0,100,6.039076377,103.4662045,13.23410451,273.612197,0,100,0,100,-0.594227671,748.2099639,-12.09810648,352.1892424,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
